Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,56.0,61.0,0.0,0.0,55.265,30.891,89.0,104.0,89.0,0.0,0.0,0.0,0.0,42.0,150,100,2026-01-01 00:00
a02,1,37.0,39.0,0.0,0.0,6.708,51.457,131.0,144.0,131.0,0.0,0.0,0.0,0.0,6.0,150,100,2026-01-01 00:00
a03,1,27.0,31.0,0.0,0.0,13.499,6.584,10.0,18.0,131.1,0.0,113.1,0.0,0.0,6.0,150,100,2026-01-01 00:00
a04,1,27.0,27.0,205.0,205.0,103.0,59.0,233.0,448.0,438.0,0.0,0.0,675.0,38.5,18.0,150,100,2026-01-01 00:00
a05,0,53.0,55.0,20.0,0.0,0.0,0.0,46.0,82.0,0.0,0.0,0.0,552.0,19.25,10.0,150,100,2026-01-01 00:00
a06,0,34.0,32.0,32.0,0.0,0.0,0.0,237.0,277.0,0.0,0.0,0.0,443.0,11.0,5.0,150,100,2026-01-01 00:00
a07,0,29.0,31.0,30.0,0.0,0.0,0.0,58.0,108.0,0.0,0.0,0.0,355.0,11.0,4.0,150,100,2026-01-01 00:00
a08,1,30.0,30.0,273.0,273.0,5.0,33.0,14.0,298.0,296.9,0.0,0.0,316.0,16.5,3.0,150,100,2026-01-01 00:00
a09,0,65.0,60.0,240.0,0.0,0.0,0.0,167.0,429.0,0.0,0.0,0.0,720.0,30.25,10.0,150,100,2026-01-01 00:00
a10,1,60.0,73.0,195.0,195.1,38.0,5.0,24.0,240.0,235.9,0.1,0.0,1804.0,134.75,42.0,150,100,2026-01-01 00:00
a11,1,43.0,42.0,180.0,180.0,5.0,5.0,15.0,211.0,195.0,0.0,0.0,964.0,68.75,27.0,150,100,2026-01-01 00:00
a12,0,49.0,58.0,186.0,0.0,0.0,0.0,39.0,239.0,0.0,0.0,0.0,715.0,33.0,12.0,150,100,2026-01-01 00:00
a13,1,50.0,66.0,268.0,268.0,46.0,5.0,61.0,346.0,329.0,0.0,0.0,953.0,22.0,14.0,150,100,2026-01-01 00:00
a14,0,66.0,67.0,140.0,0.0,0.0,0.0,169.0,328.0,0.0,0.0,0.0,826.0,35.75,12.0,150,100,2026-01-01 00:00
a15,0,75.0,70.0,35.0,0.0,0.0,0.0,12.0,61.0,0.0,0.0,0.0,811.0,27.5,11.0,150,100,2026-01-01 00:00
a16,1,25.0,23.0,209.0,211.1,5.0,5.0,277.0,504.0,504.0,2.1,0.0,599.0,33.0,17.0,150,100,2026-01-01 00:00
a17,0,65.0,68.0,10.0,0.0,0.0,-0.0,18.0,44.0,0.0,0.0,0.0,688.0,30.25,10.0,150,100,2026-01-01 00:00
a18,1,36.0,37.0,297.0,297.0,5.0,33.0,53.0,361.0,361.0,0.0,0.0,552.0,22.0,7.0,150,100,2026-01-01 00:00
a19,1,21.0,23.0,209.0,211.3,5.0,60.0,27.0,251.0,238.3,2.3,0.0,271.0,8.25,3.0,150,100,2026-01-01 00:00
a20,1,18.0,22.0,207.0,211.2,5.0,33.0,49.0,276.0,260.2,4.2,0.0,346.0,8.25,4.0,150,100,2026-01-01 00:00
a21,1,43.0,40.0,124.0,124.0,53.0,5.0,67.0,200.0,191.0,0.0,0.0,570.0,19.25,6.0,150,100,2026-01-01 00:00
a22,1,55.0,52.0,90.0,90.0,48.70799999999995,5.0,11.0,117.0,101.0,0.0,0.0,745.0,27.5,7.0,150,100,2026-01-01 00:00
a23,1,42.0,49.0,180.0,180.1,103.0,5.0,239.0,433.0,438.1,0.1,5.1,598.0,19.25,11.0,150,100,2026-01-01 00:00
a24,0,60.0,61.0,39.0,0.0,0.0,0.0,28.0,80.0,0.0,0.0,0.0,884.0,27.5,8.0,150,100,2026-01-01 00:00
a25,1,26.0,24.0,84.0,84.0,116.265,5.0,58.0,151.0,142.0,0.0,0.0,290.0,11.0,5.0,150,100,2026-01-01 00:00
a26,1,28.0,29.0,199.0,199.0,5.0,5.0,12.0,229.0,211.0,0.0,0.0,332.0,13.75,4.0,150,100,2026-01-01 00:00
a27,0,68.0,76.0,189.0,0.0,0.0,0.0,26.0,232.0,0.0,0.0,0.0,1122.0,49.5,17.0,150,100,2026-01-01 00:00
a28,1,24.0,30.0,323.0,329.1,46.0,5.0,47.0,378.0,378.0,6.1,0.0,289.0,11.0,4.0,150,100,2026-01-01 00:00
